도서명,저자,출판연도,이미지_URL_L,책_종류,세부_분야,출판연도_정규화
헝거 게임,Suzanne Collins,2008,https://images.gr-assets.com/books/1447303603m/2767052.jpg,문과 책,인문/사회/문학,0.9976108308999205
해리 포터,J.K. 롤링,1997,https://images.gr-assets.com/books/1474154022m/3.jpg,문과 책,인문/사회/문학,0.9946907353331564
트와일라잇,스테파니 메이어,2005,https://images.gr-assets.com/books/1361039443m/41865.jpg,문과 책,인문/사회/문학,0.9968144411998938
앵무새 죽이기,하퍼 리,1960,https://images.gr-assets.com/books/1361975680m/2657.jpg,문과 책,인문/사회/문학,0.9848685956994956
위대한 개츠비,F. 스콧 피츠제럴드,1925,https://images.gr-assets.com/books/1490528560m/4671.jpg,문과 책,인문/사회/문학,0.9755773825325194
잘못은 우리 별에 있어,존 그린,2012,https://images.gr-assets.com/books/1360206420m/11870085.jpg,문과 책,인문/사회/문학,0.9986726838332891
호빗,J.R.R. 톨킨,1937,https://images.gr-assets.com/books/1372847500m/5907.jpg,문과 책,인문/사회/문학,0.9787629413326255
호밀밭의 파수꾼,J.D. Salinger,1951,https://images.gr-assets.com/books/1398034300m/5107.jpg,문과 책,인문/사회/문학,0.9824794265994161
천사와 악마,댄 브라운,2000,https://images.gr-assets.com/books/1303390735m/960.jpg,문과 책,인문/사회/문학,0.9954871250331829
오만과 편견,Jane Austen,1813,https://images.gr-assets.com/books/1320399351m/1885.jpg,문과 책,인문/사회/문학,0.9458455003981949
The Kite Runner,Khaled Hosseini,2003,https://images.gr-assets.com/books/1484565687m/77203.jpg,문과 책,인문/사회/문학,0.9962835147332094
Divergent,Veronica Roth,2011,https://images.gr-assets.com/books/1328559506m/13335037.jpg,문과 책,인문/사회/문학,0.998407220599947
Nineteen Eighty-Four,조지 오웰,1949,https://images.gr-assets.com/books/1348990566m/5470.jpg,문과 책,인문/사회/문학,0.9819485001327317
동물농장,조지 오웰,1945,https://images.gr-assets.com/books/1424037542m/7613.jpg,문과 책,인문/사회/문학,0.9808866471993629
Het Achterhuis,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,https://images.gr-assets.com/books/1358276407m/48855.jpg,문과 책,인문/사회/문학,0.9814175736660473
Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",2005,https://images.gr-assets.com/books/1327868566m/2429135.jpg,문과 책,인문/사회/문학,0.9968144411998938
Catching Fire,Suzanne Collins,2009,https://images.gr-assets.com/books/1358273780m/6148028.jpg,문과 책,인문/사회/문학,0.9978762941332626
해리 포터,J.K. 롤링,1999,https://images.gr-assets.com/books/1499277281m/5.jpg,문과 책,인문/사회/문학,0.9952216617998408
The Fellowship of the Ring,J.R.R. 톨킨,1954,https://images.gr-assets.com/books/1298411339m/34.jpg,문과 책,인문/사회/문학,0.9832758162994426
Mockingjay,Suzanne Collins,2010,https://images.gr-assets.com/books/1358275419m/7260188.jpg,문과 책,인문/사회/문학,0.9981417573666047
해리 포터,J.K. 롤링,2003,https://images.gr-assets.com/books/1387141547m/2.jpg,문과 책,인문/사회/문학,0.9962835147332094
The Lovely Bones,Alice Sebold,2002,https://images.gr-assets.com/books/1457810586m/12232938.jpg,문과 책,인문/사회/문학,0.9960180514998673
해리 포터,J.K. 롤링,1998,https://images.gr-assets.com/books/1474169725m/15881.jpg,문과 책,인문/사회/문학,0.9949561985664985
해리 포터,J.K. 롤링,2000,https://images.gr-assets.com/books/1361482611m/6.jpg,문과 책,인문/사회/문학,0.9954871250331829
